WELL_ID,VOL,CONC,RATE,SAND,CUM_FLUID,Interpreter
1000,1000.00,0,15,L,0,kjw
1000,500.00,0,15,L,23.80952381,kjw
1000,4000.00,0,15,L,35.71428571,kjw
1000,20000.00,0,100,L,130.952381,kjw
1000,8000.00,0.5,100,A,607.1428571,kjw
1000,8000.00,0.75,100,A,797.6190476,kjw
1000,12000.00,1,100,A,988.0952381,kjw
1000,12000.00,1.5,100,A,1273.809524,kjw
1000,10000.00,2,100,A,1559.52381,kjw
1000,8000.00,2.5,100,A,1797.619048,kjw
1000,6000.00,0,100,L,1988.095238,kjw
1000,8000.00,0.25,100,S,2130.952381,kjw
1000,10000.00,0.5,100,S,2321.428571,kjw
1000,18000.00,0.75,100,S,2559.52381,kjw
1000,20000.00,1,100,S,2988.095238,kjw
1000,20000.00,1.25,100,S,3464.285714,kjw
1000,6000.00,0.5,100,S,3940.47619,kjw
1000,20000.00,1.5,100,S,4083.333333,kjw
1000,6000.00,0.5,100,S,4559.52381,kjw
1000,18000.00,1.75,100,S,4702.380952,kjw
1000,6000.00,0.5,100,S,5130.952381,kjw
1000,12000.00,2,100,S,5273.809524,kjw
1000,10000.00,0.5,100,D,5559.52381,kjw
1000,12000.00,1,100,D,5797.619048,kjw
1000,12000.00,1.5,100,D,6083.333333,kjw
1000,12500.00,2,100,D,6369.047619,kjw
1000,12511.00,0,100,D,6666.666667,kjw
1000,0.00,0,0,L,6964.547619,kjw
1001,1000.00,0,15,L,0,kjw
1001,1000.00,0,20,L,23.80952381,kjw
1001,65000.00,0,80,L,47.61904762,kjw
1001,20000.00,0.5,80,A,1595.238095,kjw
1001,18000.00,0.75,80,A,2071.428571,kjw
1001,15000.00,1.25,80,A,2500,kjw
1001,36000.00,0.25,80,S,2857.142857,kjw
1001,30000.00,0.5,80,S,3714.285714,kjw
1001,25000.00,0.75,80,S,4428.571429,kjw
1001,20000.00,1,80,S,5023.809524,kjw
1001,20000.00,1.25,80,S,5500,kjw
1001,18000.00,1.5,80,S,5976.190476,kjw
1001,18000.00,2,80,S,6404.761905,kjw
1001,19000.00,2.5,80,S,6833.333333,kjw
1001,19000.00,3,80,S,7285.714286,kjw
1001,19000.00,3.3,80,S,7738.095238,kjw
1001,19000.00,3.6,80,S,8190.47619,kjw
1001,19000.00,4,80,S,8642.857143,kjw
1001,16000.00,0,80,L,9095.238095,kjw
1001,0.00,0,0,L,9476.190476,kjw
1002,1000.00,0,15,L,0,kjw
1002,1000.00,0,15,L,23.80952381,kjw
1002,18000.00,0,80,L,47.61904762,kjw
1002,18000.00,0.5,80,A,476.1904762,kjw
1002,18000.00,0.75,80,A,904.7619048,kjw
1002,18000.00,1.25,80,A,1333.333333,kjw
1002,18000.00,0.25,80,S,1761.904762,kjw
1002,18000.00,0.5,80,S,2190.47619,kjw
1002,18000.00,0.75,80,S,2619.047619,kjw
1002,18000.00,1,80,S,3047.619048,kjw
1002,18000.00,1.25,80,S,3476.190476,kjw
1002,18000.00,1.5,80,S,3904.761905,kjw
1002,18000.00,2,80,S,4333.333333,kjw
1002,18000.00,2.5,80,S,4761.904762,kjw
1002,18000.00,3,80,S,5190.47619,kjw
1002,18000.00,3.5,80,S,5619.047619,kjw
1002,18000.00,4,80,S,6047.619048,kjw
1002,18000.00,4.5,80,S,6476.190476,kjw
1002,18000.00,5,80,S,6904.761905,kjw
1002,18000.00,0,80,L,7333.333333,kjw
1002,0.00,0,0,L,7761.904762,kjw
1003,1000.00,0,15,L,0,kjw
1003,1000.00,0,15,L,23.80952381,kjw
1003,18000.00,0,80,L,47.61904762,kjw
1003,18000.00,0.5,80,A,476.1904762,kjw
1003,18000.00,0.75,80,A,904.7619048,kjw
1003,18000.00,1.25,80,A,1333.333333,kjw
1003,18000.00,0.25,80,S,1761.904762,kjw
1003,18000.00,0.5,80,S,2190.47619,kjw
1003,18000.00,0.75,80,S,2619.047619,kjw
1003,18000.00,1,80,S,3047.619048,kjw
1003,18000.00,1.25,80,S,3476.190476,kjw
1003,18000.00,1.5,80,S,3904.761905,kjw
1003,18000.00,2,80,S,4333.333333,kjw
1003,18000.00,2.5,80,S,4761.904762,kjw
1003,18000.00,3,80,S,5190.47619,kjw
1003,18000.00,3.5,80,S,5619.047619,kjw
1003,18000.00,4,80,S,6047.619048,kjw
1003,18000.00,4.5,80,S,6476.190476,kjw
1003,18000.00,5,80,S,6904.761905,kjw
1003,18000.00,0,80,L,7333.333333,kjw
1003,0.00,0,0,L,7761.904762,kjw
1004,1000.00,0,15,L,0,kjw
1004,1000.00,0,15,L,23.80952381,kjw
1004,18000.00,0,80,L,47.61904762,kjw
1004,18000.00,0.5,80,A,476.1904762,kjw
1004,18000.00,0.75,80,A,904.7619048,kjw
1004,18000.00,1.25,80,A,1333.333333,kjw
1004,18000.00,0.25,80,S,1761.904762,kjw
1004,18000.00,0.5,80,S,2190.47619,kjw
1004,18000.00,0.75,80,S,2619.047619,kjw
1004,18000.00,1,80,S,3047.619048,kjw
1004,18000.00,1.25,80,S,3476.190476,kjw
1004,18000.00,1.5,80,S,3904.761905,kjw
1004,18000.00,2,80,S,4333.333333,kjw
1004,18000.00,2.5,80,S,4761.904762,kjw
1004,18000.00,3,80,S,5190.47619,kjw
1004,18000.00,3.5,80,S,5619.047619,kjw
1004,18000.00,4,80,S,6047.619048,kjw
1004,18000.00,4.5,80,S,6476.190476,kjw
